nucl;atom;AMBER;CHARMM;my_own;VDW R AMBER;VDW DEPTH AMBER;VDW R Charmm;VDW DEPTH Charmm;my_own
G;P;1.1662;1.5;;2.1;0.2;2.15;-0.585;
C;N1;-0.0484;-0.13;;1.824;0.17;1.85;-0.2;
C;C2;0.7538;0.52;;1.908;0.086;1.9;-0.1;
C;O2;-0.6252;-0.49;;1.6612;0.21;1.7;-0.12;
C;N3;-0.7584;-0.66;;1.824;0.17;1.85;-0.2;
C;C4;0.8185;0.65;;1.908;0.086;1.9;-0.1;
C;N4;-0.953;-0.75;;1.824;0.17;1.85;-0.2;
C;H41;0.4234;0.37;;0.6;0.0157;0.2245;-0.046;
C;H42;0.4234;0.33;;0.6;0.0157;0.2245;-0.046;
C;C5;-0.5215;-0.13;;1.908;0.086;1.9;-0.09;
C;H5;0.1928;0.07;;1.459;0.015;1.1;-0.046;
C;C6;0.0053;0.05;;1.908;0.086;1.9;-0.09;
C;H6;0.1958;0.17;;1.409;0.015;1.1;-0.046;
C;O1P;-0.776;-0.78;;1.6612;0.21;1.7;-0.12;
C;OP1;-0.776;-0.78;;1.6612;0.21;1.7;-0.12;
C;O2P;-0.776;-0.78;;1.6612;0.21;1.7;-0.12;
C;OP2;-0.776;-0.78;;1.6612;0.21;1.7;-0.12;
C;P;1.1662;1.5;;2.1;0.2;2.15;-0.585;
U;N1;0.0418;-0.34;;1.824;0.17;1.85;-0.2;
U;C2;0.4687;0.55;;1.908;0.086;1.9;-0.09;
U;O2;-0.5477;-0.45;;1.6612;0.21;1.7;-0.12;
U;N3;-0.3549;-0.46;;1.824;0.17;1.85;-0.2;
U;H3;0.3154;0.36;;0.6;0.0157;0.2245;-0.046;
U;C4;0.5952;0.53;;1.908;0.086;1.9;-0.1;
U;O4;-0.5761;-0.48;;1.6612;0.21;1.7;-0.12;
U;C5;-0.3635;-0.15;;1.908;0.086;1.9;-0.09;
U;H5;0.1811;0.1;;1.359;0.015;1.1;-0.046;
U;C6;-0.1126;0.2;;1.908;0.086;1.9;-0.09;
U;H6;0.2188;0.14;;1.409;0.015;1.1;-0.046;
U;O1P;-0.776;-0.78;;1.6612;0.21;1.7;-0.12;
U;OP1;-0.776;-0.78;;1.6612;0.21;1.7;-0.12;
U;OP2;-0.776;-0.78;;1.6612;0.21;1.7;-0.12;
U;P;1.1662;1.5;;2.1;0.2;2.15;-0.585;
DA;C2;0.5716;0.5;;1.908;0.086;1.9;-0.075;
DA;C4;0.38;0.43;;1.908;0.1094;1.9;-0.075;
DA;C5;0.0725;0.28;;1.908;0.086;1.9;-0.075;
DA;C6;0.6897;0.46;;1.908;0.086;1.9;-0.1;
DA;C8;0.1607;0.34;;1.908;0.086;1.9;-0.075;
DA;H2;0.0598;0.13;;1.359;0.015;1.1;-0.046;
DA;H61;0.4167;0.38;;0.6;0.0157;0.2245;-0.046;
DA;H62;0.4167;0.38;;0.6;0.0157;0.2245;-0.046;
DA;H8;0.1877;0.12;;1.359;0.015;1.34;-0.028;
DA;N1;-0.7624;-0.74;;1.824;0.17;1.85;-0.2;
DA;N3;-0.7417;-0.75;;1.824;0.17;1.85;-0.2;
DA;N6;-0.9123;-0.77;;1.824;0.17;1.85;-0.2;
DA;N7;-0.6175;-0.71;;1.824;0.17;1.85;-0.2;
DA;N9;-0.0268;-0.05;;1.824;0.17;1.85;-0.2;
DA;O1P;-0.7761;-0.78;;1.6612;0.21;1.7;-0.12;
DA;O2P;-0.7761;-0.78;;1.6612;0.21;1.7;-0.12;
DA;P;1.1659;1.5;;2.1;0.2;2.15;-0.585;
DC;C2;0.7959;0.52;;1.908;0.086;1.9;-0.1;
DC;C4;0.8439;0.65;;1.908;0.086;1.9;-0.1;
DC;C5;-0.5222;-0.13;;1.908;0.086;1.9;-0.09;
DC;C6;-0.0183;0.05;;1.908;0.086;1.9;-0.09;
DC;H41;0.4314;0.37;;0.6;0.0157;0.2245;-0.046;
DC;H42;0.4314;0.33;;0.6;0.0157;0.2245;-0.046;
DC;H5;0.1863;0.07;;1.459;0.015;1.1;-0.046;
DC;H6;0.2293;0.17;;1.409;0.015;1.1;-0.046;
DC;N1;-0.0339;-0.13;;1.824;0.17;1.85;-0.2;
DC;N3;-0.7748;-0.66;;1.824;0.17;1.85;-0.2;
DC;N4;-0.9773;-0.75;;1.824;0.17;1.85;-0.2;
DC;O1P;-0.7761;-0.78;;1.6612;0.21;1.7;-0.12;
DC;O2;-0.6548;-0.49;;1.6612;0.21;1.7;-0.12;
DC;O2P;-0.7761;-0.78;;1.6612;0.21;1.7;-0.12;
DC;P;1.1659;1.5;;2.1;0.2;2.15;-0.585;
DG;C2;0.7432;0.75;;1.908;0.086;1.9;-0.1;
DG;C4;0.1814;0.26;;1.908;0.086;1.9;-0.075;
DG;C5;0.1991;0;;1.908;0.086;1.9;-0.075;
DG;C6;0.4918;0.54;;1.908;0.086;1.9;-0.1;
DG;C8;0.0736;0.25;;1.908;0.086;1.9;-0.075;
DG;H1;0.352;0.26;;0.6;0.0157;0.2245;-0.046;
DG;H21;0.4235;0.32;;0.6;0.0157;0.2245;-0.046;
DG;H22;0.4235;0.35;;0.6;0.0157;0.2245;-0.046;
DG;H8;0.1997;0.16;;1.359;0.015;1.1;-0.046;
DG;N1;-0.5053;-0.34;;1.824;0.17;1.85;-0.2;
DG;N2;-0.923;-0.68;;1.824;0.17;1.85;-0.2;
DG;N3;-0.6636;-0.74;;1.824;0.17;1.85;-0.2;
DG;N7;-0.5725;-0.6;;1.824;0.17;1.85;-0.2;
DG;N9;0.0577;-0.02;;1.824;0.17;1.85;-0.2;
DG;O1P;-0.7761;-0.78;;1.6612;0.21;1.7;-0.12;
DG;O2P;-0.7761;-0.78;;1.6612;0.21;1.7;-0.12;
DG;O6;-0.5699;-0.51;;1.6612;0.21;1.7;-0.12;
DG;P;1.1659;1.5;;2.1;0.2;2.15;-0.585;
DT;C2;0.5677;0.55;;1.908;0.086;1.9;-0.09;
DT;C4;0.5194;0.53;;1.908;0.086;1.9;-0.1;
DT;C5;0.0025;-0.15;;1.908;0.086;1.9;-0.09;
DT;C6;-0.2209;0.2;;1.908;0.086;1.9;-0.09;
DT;H3;0.342;0.36;;0.6;0.0157;0.2245;-0.046;
DT;H5;0.2607;0.1;;1.359;0.015;1.1;-0.046;
DT;H6;0.2607;0.17;;1.409;0.015;1.1;-0.046;
DT;N1;-0.0239;-0.34;;1.824;0.17;1.85;-0.2;
DT;N3;-0.434;-0.46;;1.824;0.17;1.85;-0.2;
DT;O1P;-0.7761;-0.78;;1.6612;0.21;1.7;-0.12;
DT;O2;-0.5881;-0.45;;1.6612;0.21;1.7;-0.12;
DT;O4;-0.5563;-0.48;;1.6612;0.21;1.7;-0.12;
DT;OP2;-0.7761;-0.78;;1.6612;0.21;1.7;-0.12;
DT;P;1.1659;1.5;;2.1;0.2;2.15;-0.585;
DT;C7;-0.2269;0;;1.908;0.1094;0;0;
DT;H71;0.077;0;;1.487;0.0157;0;0;
DT;H72;0.077;0;;1.487;0.0157;0;0;
DT;H73;0.077;0;;1.487;0.0157;0;0;
DT;C5M;0;-0.11;;0;0;2.04;-0.078;
DT;H51;0;-0.07;;0;0;1.34;-0.024;
DT;H52;0;-0.07;;0;0;1.34;-0.024;
DT;H53;0;-0.07;;0;0;1.34;-0.024;
APN;C2;0.5716;0.5;;1.908;0.086;1.9;-0.075;
APN;C4;0.38;0.43;;1.908;0.1094;1.9;-0.075;
APN;C5;0.0725;0.28;;1.908;0.086;1.9;-0.075;
APN;C6;0.6897;0.46;;1.908;0.086;1.9;-0.1;
APN;C8;0.1607;0.34;;1.908;0.086;1.9;-0.075;
APN;H2;0.0598;0.13;;1.359;0.015;1.1;-0.046;
APN;H61;0.4167;0.38;;1.359;0.015;1.34;-0.028;
APN;H62;0.4167;0.38;;1.824;0.17;1.85;-0.2;
APN;H8;0.1877;0.12;;1.824;0.17;1.85;-0.2;
APN;N1;-0.7624;-0.74;;1.824;0.17;1.85;-0.2;
APN;N3;-0.7417;-0.75;;1.824;0.17;1.85;-0.2;
APN;N6;-0.9123;-0.77;;1.824;0.17;1.85;-0.2;
APN;N7;-0.6175;-0.71;;0.6;0.0157;0.2245;-0.046;
APN;N9;-0.0268;-0.05;;0.6;0.0157;0.2245;-0.046;
GPN;C2;0.7432;0.75;;1.908;0.086;1.9;-0.1;
GPN;C4;0.1814;0.26;;1.908;0.086;1.9;-0.075;
GPN;C5;0.1991;0;;1.908;0.086;1.9;-0.075;
GPN;C6;0.4918;0.54;;1.908;0.086;1.9;-0.1;
GPN;C8;0.0736;0.25;;1.908;0.086;1.9;-0.075;
GPN;H1;0.352;0.26;;0.6;0.0157;0.2245;-0.046;
GPN;H21;0.4235;0.32;;0.6;0.0157;0.2245;-0.046;
GPN;H22;0.4235;0.35;;0.6;0.0157;0.2245;-0.046;
GPN;H8;0.1997;0.16;;1.359;0.015;1.1;-0.046;
GPN;N1;-0.5053;-0.34;;1.824;0.17;1.85;-0.2;
GPN;N2;-0.923;-0.68;;1.824;0.17;1.85;-0.2;
GPN;N3;-0.6636;-0.74;;1.824;0.17;1.85;-0.2;
GPN;N7;-0.5725;-0.6;;1.824;0.17;1.85;-0.2;
GPN;N9;0.0577;-0.02;;1.824;0.17;1.85;-0.2;
GPN;O6;-0.5699;-0.51;;1.6612;0.21;1.7;-0.12;
CPN;C2;0.7959;0.52;;1.908;0.086;1.9;-0.1;
CPN;C4;0.8439;0.65;;1.908;0.086;1.9;-0.1;
CPN;C5;-0.5222;-0.13;;1.908;0.086;1.9;-0.09;
CPN;C6;-0.0183;-0.05;;1.908;0.086;1.9;-0.09;
CPN;H41;0.4314;0.37;;0.6;0.0157;0.2245;-0.046;
CPN;H42;0.4314;0.33;;0.6;0.0157;0.2245;-0.046;
CPN;H5;0.1863;0.07;;1.459;0.015;1.1;-0.046;
CPN;H6;0.2293;0.17;;1.409;0.015;1.1;-0.046;
CPN;N1;-0.0339;-0.13;;1.824;0.17;1.85;-0.2;
CPN;N3;-0.7748;-0.66;;1.824;0.17;1.85;-0.2;
CPN;N4;-0.9773;-0.75;;1.824;0.17;1.85;-0.2;
CPN;O2;-0.6548;-0.49;;1.6612;0.21;1.7;-0.12;
TPN;C2;0.5677;0.51;;1.908;0.086;1.9;-0.09;
TPN;C4;0.5194;0.5;;1.908;0.086;1.9;-0.1;
TPN;C5;0.0025;-0.15;;1.908;0.086;1.9;-0.09;
TPN;C6;-0.2209;0.17;;1.908;0.086;1.9;-0.09;
TPN;C7;-0.2269;0;;1.908;0.1094;0;0;
TPN;H71;0.077;0;;1.487;0.0157;0;0;
TPN;H72;0.077;0;;1.487;0.0157;0;0;
TPN;H73;0.077;0;;1.487;0.0157;0;0;
TPN;C5M;0;-0.11;;0;0;2.04;-0.078;
TPN;H51;0;-0.07;;0;0;1.34;-0.024;
TPN;H52;0;-0.07;;0;0;1.34;-0.024;
TPN;H53;0;-0.07;;0;0;1.34;-0.024;
TPN;H3;0.342;0.36;;0.6;0.0157;0.2245;-0.046;
TPN;H6;0.2607;0.17;;1.409;0.015;1.1;-0.046;
TPN;N1;-0.0239;-0.34;;1.824;0.17;1.85;-0.2;
TPN;N3;-0.434;-0.46;;1.824;0.17;1.85;-0.2;
TPN;O2;-0.5881;-0.41;;1.6612;0.21;1.7;-0.12;
TPN;O4;-0.5563;-0.45;;1.6612;0.21;1.7;-0.12;
H2U;N1;0.0418;-0.34;;1.824;0.17;1.85;-0.2;
H2U;C2;0.4687;0.55;;1.908;0.086;1.9;-0.09;
H2U;O2;-0.5477;-0.45;;1.6612;0.21;1.7;-0.12;
H2U;N3;-0.3549;-0.46;;1.824;0.17;1.85;-0.2;
H2U;C4;0.5952;0.53;;1.908;0.086;1.9;-0.1;
H2U;O4;-0.5761;-0.48;;1.6612;0.21;1.7;-0.12;
H2U;C5;-0.3635;-0.15;;1.908;0.086;1.9;-0.09;
H2U;H5;0.1811;0.1;;1.359;0.015;1.1;-0.046;
H2U;C6;-0.1126;0.2;;1.908;0.086;1.9;-0.09;
H2U;O1P;-0.776;-0.78;;1.6612;0.21;1.7;-0.12;
H2U;OP1;-0.776;-0.78;;1.6612;0.21;1.7;-0.12;
H2U;OP2;-0.776;-0.78;;1.6612;0.21;1.7;-0.12;
H2U;P;1.1662;1.5;;2.1;0.2;2.15;-0.585;
13P;P;1.087832;;;2.1;0.2;;;
13P;O1P;-0.76666;;;1.6612;0.21;;;
13P;O2P;-0.76666;;;1.6612;0.21;;;
13P;'O2''';-0.591348;;;1.721;0.2104;;;
13P;'HO''2';0.410145;;;0;0;;;
13P;C5;-0.295697;;;1.908;0.086;;;
13P;C4;0.64923;;;1.908;0.086;;;
13P;O4;-0.540737;;;1.6612;0.21;;;
13P;N3;-0.212419;;;1.824;0.17;;;
13P;C2;0.505118;;;1.908;0.086;;;
13P;O2;-0.540461;;;1.6612;0.21;;;
13P;N1;-0.013627;;;1.824;0.17;;;
13P;C6;-0.189245;;;1.908;0.086;;;
13P;H6;0.213485;;;1.409;0.015;;;
13P;C11;-0.162829;;;1.908;0.1094;;;
13P;H11;0.086463;;;1.387;0.0157;;;
13P;H12;0.086463;;;1.387;0.0157;;;
13P;H13;0.086463;;;1.387;0.0157;;;
13P;C32;-0.042005;;;1.908;0.1094;;;
13P;H21;0.057741;;;1.387;0.0157;;;
13P;H22;0.057741;;;1.387;0.0157;;;
13P;C34;0.021725;;;1.908;0.1094;;;
13P;H41;0.025223;;;1.487;0.0157;;;
13P;H42;0.025223;;;1.487;0.0157;;;
13P;C35;-0.040813;;;1.908;0.1094;;;
13P;H51;0.028676;;;1.487;0.0157;;;
13P;H52;0.028676;;;1.487;0.0157;;;
13P;C36;0.232658;;;1.908;0.1094;;;
13P;H36;-0.001922;;;1.387;0.0157;;;
13P;N68;-1.035184;;;1.824;0.17;;;
13P;H81;0.355694;;;0.6;0.0157;;;
13P;H82;0.355694;;;0.6;0.0157;;;
13P;C37;0.726948;;;1.908;0.086;;;
13P;O71;-0.783533;;;1.6612;0.21;;;
13P;O72;-0.80293;;;1.6612;0.21;;;
1MA;P;1.087832;;;2.1;0.2;;;
1MA;O1P;-0.76666;;;1.6612;0.21;;;
1MA;O2P;-0.76666;;;1.6612;0.21;;;
1MA;'O2''';-0.591348;;;1.721;0.2104;;;
1MA;'HO''2';0.410145;;;0;0;;;
1MA;N9;0.088092;;;1.824;0.17;;;
1MA;C8;0.066175;;;1.908;0.086;;;
1MA;N7;-0.487156;;;1.824;0.17;;;
1MA;C5;0.113539;;;1.908;0.086;;;
1MA;C6;0.323655;;;1.908;0.086;;;
1MA;N6;-0.661293;;;1.824;0.17;;;
1MA;H61;0.392343;;;0.6;0.0157;;;
1MA;H62;0.392343;;;0.6;0.0157;;;
1MA;N1;-0.029341;;;1.824;0.17;;;
1MA;C2;0.188226;;;1.908;0.086;;;
1MA;N3;-0.500056;;;1.824;0.17;;;
1MA;C4;0.384238;;;1.908;0.086;;;
1MA;H2;0.18993;;;1.359;0.015;;;
1MA;C11;-0.155213;;;1.908;0.1094;;;
1MA;H11;0.120296;;;1.387;0.0157;;;
1MA;H12;0.120296;;;1.387;0.0157;;;
1MA;H13;0.120296;;;1.387;0.0157;;;
1MA;H8;0.21545;;;1.359;0.015;;;
1MG;P;1.087832;;;2.1;0.2;;;
1MG;O1P;-0.76666;;;1.6612;0.21;;;
1MG;O2P;-0.76666;;;1.6612;0.21;;;
1MG;'O2''';-0.591348;;;1.721;0.2104;;;
1MG;'HO''2';0.410145;;;0;0;;;
1MG;N9;0.022831;;;1.824;0.17;;;
1MG;C8;0.033072;;;1.908;0.086;;;
1MG;N7;-0.490896;;;1.824;0.17;;;
1MG;C5;0.056344;;;1.908;0.086;;;
1MG;C6;0.415262;;;1.908;0.086;;;
1MG;O6;-0.50776;;;1.6612;0.21;;;
1MG;N1;-0.083972;;;1.824;0.17;;;
1MG;C2;0.518414;;;1.908;0.086;;;
1MG;N2;-0.824116;;;1.824;0.17;;;
1MG;H21;0.382452;;;0.6;0.0157;;;
1MG;H22;0.382452;;;0.6;0.0157;;;
1MG;N3;-0.599231;;;1.824;0.17;;;
1MG;C4;0.264686;;;1.908;0.086;;;
1MG;C11;-0.052215;;;1.908;0.1094;;;
1MG;H11;0.06391;;;1.387;0.0157;;;
1MG;H12;0.06391;;;1.387;0.0157;;;
1MG;H13;0.06391;;;1.387;0.0157;;;
1MG;H8;0.172768;;;1.359;0.015;;;
1MI;P;1.087832;;;2.1;0.2;;;
1MI;O1P;-0.76666;;;1.6612;0.21;;;
1MI;O2P;-0.76666;;;1.6612;0.21;;;
1MI;'O2''';-0.591348;;;1.721;0.2104;;;
1MI;'HO''2';0.410145;;;0;0;;;
1MI;N9;-0.000096;;;1.824;0.17;;;
1MI;C8;0.056409;;;1.908;0.086;;;
1MI;N7;-0.495526;;;1.824;0.17;;;
1MI;C5;0.006072;;;1.908;0.086;;;
1MI;C6;0.565217;;;1.908;0.086;;;
1MI;O6;-0.550729;;;1.6612;0.21;;;
1MI;N1;-0.110385;;;1.824;0.17;;;
1MI;C2;0.199524;;;1.908;0.086;;;
1MI;N3;-0.594458;;;1.824;0.17;;;
1MI;C4;0.357656;;;1.908;0.086;;;
1MI;H2;0.156675;;;1.359;0.015;;;
1MI;C11;-0.181794;;;1.908;0.1094;;;
1MI;H11;0.099358;;;1.387;0.0157;;;
1MI;H12;0.099358;;;1.387;0.0157;;;
1MI;H13;0.099358;;;1.387;0.0157;;;
1MI;H8;0.17518;;;1.359;0.015;;;
1MP;P;1.087832;;;2.1;0.2;;;
1MP;O1P;-0.76666;;;1.6612;0.21;;;
1MP;O2P;-0.76666;;;1.6612;0.21;;;
1MP;'O2''';-0.591348;;;1.721;0.2104;;;
1MP;'HO''2';0.410145;;;0;0;;;
1MP;C5;-0.243881;;;1.908;0.086;;;
1MP;C4;0.719411;;;1.908;0.086;;;
1MP;O4;-0.581272;;;1.6612;0.21;;;
1MP;N3;-0.552849;;;1.824;0.17;;;
1MP;C2;0.620514;;;1.908;0.086;;;
1MP;O2;-0.574356;;;1.6612;0.21;;;
1MP;N1;-0.011512;;;1.824;0.17;;;
1MP;C6;-0.184465;;;1.908;0.086;;;
1MP;H6;0.222025;;;1.409;0.015;;;
1MP;C11;-0.15327;;;1.908;0.1094;;;
1MP;H11;0.090114;;;1.387;0.0157;;;
1MP;H12;0.090114;;;1.387;0.0157;;;
1MP;H13;0.090114;;;1.387;0.0157;;;
1MP;HN3;0.351133;;;0.6;0.0157;;;
26A;P;1.087832;;;2.1;0.2;;;
26A;O1P;-0.76666;;;1.6612;0.21;;;
26A;O2P;-0.76666;;;1.6612;0.21;;;
26A;'O2''';-0.591348;;;1.721;0.2104;;;
26A;'HO''2';0.410145;;;0;0;;;
26A;N9;-0.058049;;;1.824;0.17;;;
26A;C8;0.076735;;;1.908;0.086;;;
26A;N7;-0.516697;;;1.824;0.17;;;
26A;C5;0.231688;;;1.908;0.086;;;
26A;C6;0.087393;;;1.908;0.086;;;
26A;N6;-0.299524;;;1.824;0.17;;;
26A;H61;0.226116;;;0.6;0.0157;;;
26A;C62;0.669361;;;1.908;0.086;;;
26A;N63;-0.38945;;;1.824;0.17;;;
26A;H63;0.286281;;;0.6;0.0157;;;
26A;C64;-0.018583;;;1.908;0.1094;;;
26A;H64;0.084928;;;1.387;0.0157;;;
26A;C65;0.186578;;;1.908;0.1094;;;
26A;H65;0.041469;;;1.387;0.0157;;;
26A;C67;-0.013991;;;1.908;0.1094;;;
26A;H71;0.037459;;;1.487;0.0157;;;
26A;H72;0.037459;;;1.487;0.0157;;;
26A;C68;-0.080161;;;1.908;0.1094;;;
26A;H81;-0.005334;;;1.487;0.0157;;;
26A;H82;-0.005334;;;1.487;0.0157;;;
26A;H83;-0.005334;;;1.487;0.0157;;;
26A;O51;-0.728417;;;1.721;0.2104;;;
26A;H51;0.447316;;;0;0;;;
26A;C49;0.719916;;;1.908;0.086;;;
26A;O91;-0.71851;;;1.6612;0.21;;;
26A;O92;-0.765828;;;1.6612;0.21;;;
26A;O62;-0.619993;;;1.6612;0.21;;;
26A;N1;-0.298857;;;1.824;0.17;;;
26A;C2;0.448237;;;1.908;0.086;;;
26A;N3;-0.574018;;;1.824;0.17;;;
26A;C4;0.364873;;;1.908;0.086;;;
26A;S21;-0.266355;;;2;0.25;;;
26A;C21;-0.080251;;;1.908;0.1094;;;
26A;H11;0.065397;;;1.387;0.0157;;;
26A;H12;0.065397;;;1.387;0.0157;;;
26A;H13;0.065397;;;1.387;0.0157;;;
26A;H8;0.184508;;;1.359;0.015;;;
27G;P;1.087832;;;2.1;0.2;;;
27G;O1P;-0.76666;;;1.6612;0.21;;;
27G;O2P;-0.76666;;;1.6612;0.21;;;
27G;'O2''';-0.591348;;;1.721;0.2104;;;
27G;'HO''2';0.410145;;;0;0;;;
27G;N9;0.194126;;;1.824;0.17;;;
27G;C8;-0.052855;;;1.908;0.086;;;
27G;N7;-0.021633;;;1.824;0.17;;;
27G;C5;0.011421;;;1.908;0.086;;;
27G;C6;0.397824;;;1.908;0.086;;;
27G;O6;-0.482346;;;1.6612;0.21;;;
27G;N1;-0.175896;;;1.824;0.17;;;
27G;C2;0.348385;;;1.908;0.086;;;
27G;N2;-0.312822;;;1.824;0.17;;;
27G;H21;0.336188;;;0.6;0.0157;;;
27G;C23;-0.145777;;;1.908;0.1094;;;
27G;H31;0.110006;;;1.387;0.0157;;;
27G;H32;0.110006;;;1.387;0.0157;;;
27G;H33;0.110006;;;1.387;0.0157;;;
27G;N3;-0.569459;;;1.824;0.17;;;
27G;C4;0.241603;;;1.908;0.086;;;
27G;H1;0.28883;;;0.6;0.0157;;;
27G;C71;-0.210606;;;1.908;0.1094;;;
27G;H11;0.151196;;;1.387;0.0157;;;
27G;H12;0.151196;;;1.387;0.0157;;;
27G;H13;0.151196;;;1.387;0.0157;;;
27G;H8;0.251232;;;1.359;0.015;;;
2MA;P;1.087832;;;2.1;0.2;;;
2MA;O1P;-0.76666;;;1.6612;0.21;;;
2MA;O2P;-0.76666;;;1.6612;0.21;;;
2MA;'O2''';-0.591348;;;1.721;0.2104;;;
2MA;'HO''2';0.410145;;;0;0;;;
2MA;N9;-0.010825;;;1.824;0.17;;;
2MA;C8;0.064555;;;1.908;0.086;;;
2MA;N7;-0.53946;;;1.824;0.17;;;
2MA;C5;0.012816;;;1.908;0.086;;;
2MA;C6;0.622151;;;1.908;0.086;;;
2MA;N6;-0.856017;;;1.824;0.17;;;
2MA;H61;0.394261;;;0.6;0.0157;;;
2MA;H62;0.394261;;;0.6;0.0157;;;
2MA;N1;-0.75156;;;1.824;0.17;;;
2MA;C2;0.741675;;;1.908;0.086;;;
2MA;N3;-0.738369;;;1.824;0.17;;;
2MA;C4;0.409571;;;1.908;0.086;;;
2MA;C21;-0.271834;;;1.908;0.1094;;;
2MA;H11;0.077573;;;1.487;0.0157;;;
2MA;H12;0.077573;;;1.487;0.0157;;;
2MA;H13;0.077573;;;1.487;0.0157;;;
2MA;H8;0.177877;;;1.359;0.015;;;
2MG;P;1.087832;;;2.1;0.2;;;
2MG;O1P;-0.76666;;;1.6612;0.21;;;
2MG;O2P;-0.76666;;;1.6612;0.21;;;
2MG;'O2''';-0.591348;;;1.721;0.2104;;;
2MG;'HO''2';0.410145;;;0;0;;;
2MG;N9;-0.009189;;;1.824;0.17;;;
2MG;C8;0.104475;;;1.908;0.086;;;
2MG;N7;-0.552066;;;1.824;0.17;;;
2MG;C5;0.134845;;;1.908;0.086;;;
2MG;C6;0.582267;;;1.908;0.086;;;
2MG;O6;-0.551829;;;1.6612;0.21;;;
2MG;N1;-0.608079;;;1.824;0.17;;;
2MG;C2;0.658738;;;1.908;0.086;;;
2MG;N2;-0.55992;;;1.824;0.17;;;
2MG;H21;0.358433;;;0.6;0.0157;;;
2MG;C23;-0.075365;;;1.908;0.1094;;;
2MG;H31;0.082155;;;1.387;0.0157;;;
2MG;H32;0.082155;;;1.387;0.0157;;;
2MG;H33;0.082155;;;1.387;0.0157;;;
2MG;N3;-0.545626;;;1.824;0.17;;;
2MG;C4;0.193459;;;1.908;0.086;;;
2MG;H1;0.346112;;;0.6;0.0157;;;
2MG;H8;0.159101;;;1.359;0.015;;;
2RA;P;1.081932;;;2.1;0.2;;;
2RA;O1P;-0.76536;;;1.6612;0.21;;;
2RA;O2P;-0.76536;;;1.6612;0.21;;;
2RA;'O2''';-0.413577;;;1.6837;0.17;;;
2RA;C11;0.082806;;;1.908;0.1094;;;
2RA;O14;-0.380235;;;1.6837;0.17;;;
2RA;C14;0.073825;;;1.908;0.1094;;;
2RA;C13;0.052354;;;1.908;0.1094;;;
2RA;C12;0.281463;;;1.908;0.1094;;;
2RA;O21;-0.697258;;;1.721;0.2104;;;
2RA;H21;0.458627;;;0;0;;;
2RA;H12;0.055237;;;1.387;0.0157;;;
2RA;O31;-0.694325;;;1.721;0.2104;;;
2RA;H31;0.470493;;;0;0;;;
2RA;H13;0.111895;;;1.387;0.0157;;;
2RA;C15;0.036809;;;1.908;0.1094;;;
